Alistipes_shahii_WAL_8301,Bacteroides_caccae_ATCC_43185,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_fragilis_NCTC_9343,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_longum_NCC2705,Clostridium_clostridioforme_CM201,Collinsella_tanakaei_YIT_12063,Escherichia_coli_str_K_12_substr_MG1655,Faecalibacterium_prausnitzii_L2_6,Haemophilus_parainfluenzae_T3T1,Megasphaera_elsdenii_DSM_20460,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Prevotella_ruminicola_23,Roseburia_intestinalis_L1_82,Shigella_flexneri_2002017
3OAS6M8,ZN2tex,DHAD2,GLYCLTDxr,,ACOAAGPATAI17,3HAD100,OMMBLHX3,,G3PATI17,3OAS13M14,,,COBALTt5pp,PSSAAI17,3HAD160,HISTP,GLUR,,KDOPP
GRTT,HSERTA,3OAR80,3OAR9M10,,GLCTR1,TRDRr,DPCOAK,,EX_biomass(e),ALAPGPL,,,G1PACT,EX_fe3(e),THRD_L,IPPMIb,3OAS11M12,,EAR80x
EAR14M16x,THRS,A5PISO,Q8tex,,3HAD80,ACOATA,3HAD6M8,,3OAS5M6,TECA1SAI17,,,EX_zn2(e),UAMAS,ACOTA,HSK,DPCOAK,,DM_dhptd(c)
ATPPRT,UGMDDS,PPCDC,Cuabcpp,,G1PTT,LPADSS,3OAR13M14,,TYRL,DXPS,,,GLCTR2,KDOPP,EAR5M6x,ALAR,RIBFLVtex,,KAS14
EX_spmd(e),ACGK,DM_btn,3OAS160,,PHEMEtex,EX_biomass(e),3OAR11M12,,ADK2,GHMT2r,,,EAR6M8x,3OAR140,APRAUR,PRAI,4HTHDS,,EAR40x
ACOAAGPATAI17,RNTR3,MET_Ltex,PTPAT,,IGPDH,OCBT,G6PDA,,DASYN180,EAR9M10x,,,L2A6OD2s,3OAS4M3O6,3OAS100,,EAR5M6x,,3OAR140
GLCTR1,MG2tex,ZN2tex,UMPK,,MN2tex,RBFSa,EX_ribflv(e),,PSSAAI17,3OAS3M4,,,PGSAAI17,3OAR10M12,DAPE,,3OAS100,,3OAS4M3O6
G1PTT,MCOATA,THRS,DTMPK,,3HAD5M6,EDTXS1,OPHBDC,,EX_fe3(e),EAR14M16,,,3OAS4M6,KDOCT2,CLPNS180,,CLPNS180,,3OAR10M12
PHEMEtex,EX_k(e),UGMDDS,METAT,,3HAD60,MALCOACD,MECDPDH2,,HEMEti,EAR12M14x,,,SPMS,DM_GCALD,3HAD40,,3HAD40,,KDOCT2
IGPDH,EAR60x,XYL_Dtex,MEPCT,,EX_lys_L(e),3OAS140,HMBS,,UAMAS,TRDRr,,,3OAS13M14,biomass370,3OAS80,,3OAS80,,3OAR80
MN2tex,COBALT2tex,ACGK,SERATi,,3HAD180,UAMAS,ASNS1,,TECAAE,CAt4i,,,DXPS,3HAD15M16,sink_gthrd(c),,Coabcpp,,3HAD15M16
3HAD5M6,ASPKi,RNTR3,EX_cu2(e),,CHORM,KDOPP,3HAD14M16,,PAI17P,ADOCBLS,,,EAR9M10x,A5PISO,PSDAI17,,EX_pro_L(e),,DHFR
CHORM,GLCTR3,MG2tex,OIVD3,,PGPPAI17,EAR80x,3HAD7M8,,3OAS4M3O6,EX_gln_L(e),,,3OAS3M4,PPCDC,CAt4ipp,,sink_gthrd(c),,A5PISO
PGPPAI17,PEPGLY,MCOATA,ILETA,,SPMDabcpp,DM_dhptd(c),G1SAT,,3OAR10M12,PGSA180,,,AGMHE,2MBCOATA,DHQS,,PSDAI17,,PPCDC
SPMDabcpp,PHETA1,EX_k(e),PGSAI17,,FBA2,KAS14,PGPGT,,DHNAOT4,G3PATI17,,,TMPK,TMDS,IHPDCOATA,,CAt4ipp,,2MBCOATA
ACPS1,ASAD,GLU5K,GTPCII,,ACPS1,EAR40x,EX_cobalt2(e),,SPMDabc,EX_biomass(e),,,EAR12M14x,ZN2tex,G3PATAI17,,GF6PTA,,SHCHD2
3HAD4M6,HEPK1,EAR60x,EAR100x,,3HAD4M6,3OAR140,pbiosynthesis,,SUDPDGT,CHRPL,,,DM_5MTR,UGMDDS,3OAR160,,DHQS,,ZN2tex
EX_mg2(e),HISTP,PYDXK,3OAR7M8,,EX_mg2(e),CA2abcpp,EX_mn2(e),,MK7te,3OAS5M6,,,3OAR60,RNTR3,UAPGR,,IHPDCOATA,,PPBNGS
GMHEPPA,GACPCD,COBALT2tex,CLtex,,GMHEPPA,,EX_4abz(e),,3HAD15M16,ADK2,,,3HAD100,AIHPDCOATA,PAPPT3,,G3PATAI17,,UGMDDS
rtranscription,HSK,ASPKi,EAR8M10x,,rtranscription,,ASPKi,,DHFR,DASYN180,,,TRDRr,MG2tex,HEPT4,,UAPGR,,FRTT
RIBFLVt2rpp,ALAR,GLCTR3,3OAR5M6,,3OAS60,,GLUTRS,,TECA3SAI17,PSSAAI17,,,ACOATA,ADSS,S7PIr,,PAPPT3,,AIHPDCOATA
Ktex,,G5SDr,LYS_Ltex,,Ktex,,UTPATPT,,PPCDC,EX_fe3(e),,,ADOCBLS,MCOATA,AMPMS2,,HEPT4,,MG2tex
ADOCBIK,,PEPGLY,EAR11M12x,,dreplication,,ADSL1r,,2MBCOATA,HEMEti,,,LPADSS,EX_k(e),3HAD13M14,,S7PIr,,MCOATA
dreplication,,PHETA1,3HAD8M10,,COBALTt5pp,,3OAR8M10,,ALATA_D,UAMAS,,,PGSA180,3HAD6M8,SHKK,,3HAD13M14,,EX_k(e)
COBALTt5pp,,ASAD,PGK,,EX_zn2(e),,HETT,,EX_ocdca(e),TECAAE,,,G3PATI17,3OAR13M14,3OAS9M10,,SHKK,,EAR60x
G1PACT,,HEPK1,ADCL,,PRMICI,,DASYNI17,,Cuabc,PAI17P,,,EX_biomass(e),3HAD14M16,HEPT3,,3OAS9M10,,3HAD6M8
EX_zn2(e),,PGCDr,LYSt3rpp,,SO4tex,,3HAD9M10,,UGMDDS,DAPabc,,,3OAS5M6,COBALT2tex,OIVD1r,,HEPT3,,3OAR13M14
PRMICI,,HISTP,TDSK,,GLCTR2,,GAPD,,TMDPK,3OAS4M3O6,,,RBFSa,GLCTR3,Ktex,,OIVD1r,,3HAD14M16
SO4tex,,GACPCD,3OAR4M6,,EAR6M8x,,SO4t2,,FRTT,3OAR10M12,,,EDTXS1,3HAD9M10,dreplication,,METt2rpp,,SHCHF
FTCD,,RPE,GLUR,,PGSAAI17,,3OAR14M16,,AIHDUPDG,SPMDabc,,,3OAS140,PSSA180,COBALTt5pp,,3OAR10M12,,COBALT2tex
EX_gthox(e),,HSK,Ktex,,3OAS4M6,,DHQTi,,AIHPDCOATA,SUDPDGT,,,TYRL,PEPGLY,G1PACT,,KDOCT2,,GLCTR3
GLCTR2,,ALAR,dreplication,,GLXCL,,MK8t,,UAG2E,3HAD15M16,,,ADK2,HEPK1,EX_zn2(e),,3OAR80,,3HAD9M10
EAR6M8x,,,COBALTt5pp,,ACLS_a,,SDPTA,,MCOATA,DHFR,,,MTAN,3OAR6M8,PRMICI,,3HAD15M16,,PSSA180
GLNS,,,EX_zn2(e),,3OAS13M14,,PSSA180,,EX_k(e),TECA3SAI17,,,DASYN180,DASYNAI17,SO4tex,,DHFR,,PEPGLY
IZPN,,,PRMICI,,DXPS,,PEPGLY,,PPCKr,PPCDC,,,PSSAAI17,ACOAAGPATI17,GLCTR2,,A5PISO,,HEPK1
PGSAAI17,,,SO4tex,,GHMT2r,,EX_cl(e),,3HAD6M8,2MBCOATA,,,EX_fe3(e),,EAR6M8x,,PPCDC,,3OAR6M8
3OAS4M6,,,GLCTR2,,PRFGS,,G1PACT,,3OAR13M14,TMDS,,,UPP3S,,PGSAAI17,,NAt3_1pp,,DASYNAI17
ACLS_a,,,EAR6M8x,,EAR9M10x,,dreplication,,EX_ribflv(e),EX_ocdca(e),,,UAMAS,,3OAS4M6,,2MBCOATA,,ACOAAGPATI17
3OAS13M14,,,PGSAAI17,,3OAS3M4,,CLPNSAI17,,PYDXK,Cuabc,,,KDOPP,,ACLS_a,,MET_Ltex,,
ACLS_b,,,3OAS4M6,,AGMHE,,NNATr,,TECA1SI17,THRS,,,EAR80x,,3OAS13M14,,ZN2tex,,
DXPS,,,GLXCL,,TMPK,,biomass345,,3HAD14M16,UGMDDS,,,DM_dhptd(c),,DXPS,,UGMDDS,,
GHMT2r,,,ACLS_a,,EAR12M14x,,OMBZLM,,IHDUDPG,TMDPK,,,TMPPP,,PRFGS,,AIHPDCOATA,,
EAR9M10x,,,3OAS13M14,,3OAR60,,ASAD,,SO4t2,FRTT,,,KAS14,,EAR9M10x,,MG2tex,,
3OAS3M4,,,DXPS,,ALAS,,3OAR9M10,,3HAD9M10,AIHDUPDG,,,EAR40x,,3OAS3M4,,MCOATA,,
AGMHE,,,GHMT2r,,3HAD100,,EX_met_L(e),,PSSA180,ACGK,,,PTRCORNt7pp,,AGMHE,,EX_k(e),,
TMPK,,,PRFGS,,TRDRr,,EX_zn2(e),,PEPGLY,AIHPDCOATA,,,3OAR140,,TMPK,,EAR60x,,
EAR12M14x,,,EAR9M10x,,ADCS,,EX_his_L(e),,PHETA1,ADSS,,,3OAS4M3O6,,EAR12M14x,,3HAD6M8,,
ADOCBLS,,,3OAS3M4,,ACOATA,,PSD180,,3OAR6M8,UAG2E,,,3OAR10M12,,3OAR60,,3OAR13M14,,
LPADSS,,,AGMHE,,ADOCBLS,,3OAR6M8,,HISTP,MCOATA,,,MNabcpp,,3HAD100,,ILE_Ltex,,
PGSA180,,,TMPK,,LPADSS,,OROTPT,,DASYNAI17,EX_k(e),,,KDOCT2,,TRDRr,,EX_ribflv(e),,
G3PATI17,,,EAR12M14x,,PGSA180,,G3PCT,,ACOAAGPATI17,3HAD6M8,,,DM_GCALD,,ADCS,,3HAD14M16,,
EX_biomass(e),,,3OAR60,,STCOATA,,CYTDt2r,,LYSabc,3OAR13M14,,,3OAR80,,ACOATA,,COBALT2tex,,
EX_q8(e),,,3HAD100,,G3PATI17,,RNTR1,,TYRTA,EX_ribflv(e),,,HMPK1,,ADOCBLS,,GLCTR3,,
3OAS5M6,,,TRDRr,,FT,,GLNS,,EX_sheme(e),PYDXK,,,3HAD15M16,,LPADSS,,3HAD9M10,,
EDTXS1,,,ADCS,,EX_biomass(e),,FMNAT,,ALAR,TECA1SI17,,,DHFR,,PGSA180,,PSSA180,,
CGLYtex,,,ACOATA,,EX_q8(e),,4ABZt2,,,3HAD14M16,,,A5PISO,,G3PATI17,,PEPGLY,,
3OAS140,,,ADOCBLS,,3OAS5M6,,DHFS,,,IHDUDPG,,,PPCDC,,FT,,PMPK,,
ADK2,,,LPADSS,,OCBT,,DASYNAI17,,,ASPKi,,,2MBCOATA,,EX_biomass(e),,HEPK1,,
DASYN180,,,PGSA180,,RBFSa,,PIabc,,,SO4t2,,,ARG_Ltex,,EX_q8(e),,3OAR6M8,,
PSSAAI17,,,STCOATA,,EDTXS1,,EAR10M12,,,3HAD9M10,,,SHCHD2,,3OAS5M6,,G3PD1,,
EX_fe3(e),,,G3PATI17,,3OAS140,,3OAS4M6,,,PSSA180,,,ZN2tex,,OCBT,,DASYNAI17,,
UAMAS,,,FT,,ADK2,,PGSAAI17,,,PEPGLY,,,PPBNGS,,RBFSa,,ACOAAGPATI17,,
KDOPP,,,EX_biomass(e),,EAR180x,,PTPAT,,,PHETA1,,,THRS,,EDTXS1,,RPE,,
3OAR140,,,EX_q8(e),,DASYN180,,ACOAAGPATI17,,,ASAD,,,THMtex,,3OAS140,,ALAR,,
3OAS4M3O6,,,3OAS5M6,,PSSAAI17,,RHCCE,,,3OAR6M8,,,r1667pp,,EX_gam(e),,PRAI,,
3OAR10M12,,,OCBT,,UPP3S,,UMPK,,,HISTP,,,UGMDDS,,ADK2,,,,
CYSS,,,RBFSa,,UAMAS,,ACLS_a,,,TKT2,,,FRTT,,EAR180x,,,,
KDOCT2,,,EDTXS1,,KDOPP,,3OAS13M14,,,DASYNAI17,,,AIHPDCOATA,,DASYN180,,,,
DPRr,,,SUCBZS,,EAR80x,,SPMS,,,ACOAAGPATI17,,,MG2tex,,PSSAAI17,,,,
TTDCAt2pp,,,3OAS140,,KAS14,,TECAGE,,,RPE,,,MCOATA,,UAMAS,,,,
P5CRyr,,,ADK2,,EAR40x,,ALAPGPL,,,HSK,,,EX_k(e),,KDOPP,,,,
DHAD2,,,EAR180x,,3OAR140,,HSK,,,EX_sheme(e),,,EAR60x,,EAR80x,,,,
FOLtpp,,,DASYN180,,3OAS4M3O6,,EX_sheme(e),,,ALAR,,,3HAD6M8,,TMPPP,,,,
3HAD15M16,,,PSSAAI17,,3OAR10M12,,TECAUE,,,,,,3OAR13M14,,KAS14,,,,
DHFR,,,KDOPP,,KDOCT2,,DTMPK,,,,,,3HAD14M16,,EAR40x,,,,
A5PISO,,,UAMAS,,DHAD2,,DXPS,,,,,,SHCHF,,3OAR140,,,,
PPCDC,,,EAR80x,,3OAR80,,ALAR,,,,,,COBALT2tex,,3OAS4M3O6,,,,
2MBCOATA,,,KAS14,,3HAD15M16,,METAT,,,,,,GLCTR3,,3OAR10M12,,,,
SHEMEtex,,,EAR40x,,DHFR,,,,,,,,3HAD9M10,,KDOCT2,,,,
ZN2tex,,,MQN8tex,,A5PISO,,,,,,,,PSSA180,,DHAD2,,,,
EX_ocdca(e),,,3OAR140,,PPCDC,,,,,,,,PEPGLY,,GALUi,,,,
HSERTA,,,3OAS4M3O6,,NAt3_1pp,,,,,,,,PMPK,,3OAR80,,,,
THRS,,,3OAR10M12,,2MBCOATA,,,,,,,,PHETA1,,3HAD15M16,,,,
THMtex,,,KDOCT2,,SHCHD2,,,,,,,,HEPK1,,DHFR,,,,
Q8abcpp,,,DHAD2,,MET_Ltex,,,,,,,,3OAR6M8,,A5PISO,,,,
UGMDDS,,,3OAR80,,ZN2tex,,,,,,,,DNTPPA,,PPCDC,,,,
ACGK,,,3HAD15M16,,PPBNGS,,,,,,,,DASYNAI17,,2MBCOATA,,,,
DHAD1,,,DHFR,,THRS,,,,,,,,ACOAAGPATI17,,SHEMEtex,,,,
AIHPDCOATA,,,GALT,,Q8abcpp,,,,,,,,HSK,,MET_Ltex,,,,
MG2tex,,,A5PISO,,UGMDDS,,,,,,,,ALAR,,ZN2tex,,,,
MCOATA,,,PPCDC,,ACGK,,,,,,,,,,THRS,,,,
EX_k(e),,,NAt3_1pp,,RNTR3,,,,,,,,,,Q8abcpp,,,,
GLU5K,,,2MBCOATA,,AIHPDCOATA,,,,,,,,,,UGMDDS,,,,
3HAD6M8,,,SHEMEtex,,MG2tex,,,,,,,,,,ACGK,,,,
3OAR13M14,,,MET_Ltex,,MCOATA,,,,,,,,,,PYK,,,,
ASNS2,,,ZN2tex,,EX_k(e),,,,,,,,,,RNTR3,,,,
EX_ribflv(e),,,HSERTA,,EAR60x,,,,,,,,,,AIHPDCOATA,,,,
PYDXK,,,THRS,,3HAD6M8,,,,,,,,,,MG2tex,,,,
3HAD14M16,,,Q8abcpp,,3OAR13M14,,,,,,,,,,ADSS,,,,
COBALT2tex,,,UGMDDS,,3HAD14M16,,,,,,,,,,MCOATA,,,,
ASPKi,,,ACGK,,SHCHF,,,,,,,,,,EX_k(e),,,,
GLCTR3,,,AIHPDCOATA,,COBALT2tex,,,,,,,,,,EAR60x,,,,
G5SDr,,,MG2tex,,ASPKi,,,,,,,,,,3HAD6M8,,,,
3HAD9M10,,,MCOATA,,GLCTR3,,,,,,,,,,3OAR13M14,,,,
PSSA180,,,EX_k(e),,3HAD9M10,,,,,,,,,,3HAD14M16,,,,
PEPGLY,,,EAR60x,,r0339,,,,,,,,,,COBALT2tex,,,,
PHETA1,,,3HAD6M8,,PSSA180,,,,,,,,,,ASPKi,,,,
ASAD,,,3OAR13M14,,PEPGLY,,,,,,,,,,GLCTR3,,,,
HEPK1,,,3HAD14M16,,PMPK,,,,,,,,,,3HAD9M10,,,,
3OAR6M8,,,COBALT2tex,,ASAD,,,,,,,,,,PSSA180,,,,
ADNK1,,,ASPKi,,HEPK1,,,,,,,,,,PEPGLY,,,,
HISTP,,,GLCTR3,,3OAR6M8,,,,,,,,,,PMPK,,,,
TKT2,,,3HAD9M10,,HISTP,,,,,,,,,,ASAD,,,,
DASYNAI17,,,r0339,,G3PD1,,,,,,,,,,HEPK1,,,,
ACOAAGPATI17,,,PSSA180,,DASYNAI17,,,,,,,,,,3OAR6M8,,,,
IPPMIb,,,PEPGLY,,ACOAAGPATI17,,,,,,,,,,HISTP,,,,
RPE,,,PMPK,,HSK,,,,,,,,,,DASYNAI17,,,,
HSK,,,ASAD,,ALAR,,,,,,,,,,ACOAAGPATI17,,,,
EX_sheme(e),,,HEPK1,,,,,,,,,,,,HSK,,,,
ALAR,,,3OAR6M8,,,,,,,,,,,,EX_sheme(e),,,,
